model,r_pooled,p_pooled,r_mean,r_sem,n_cells,n_options
baseline_filtered_dpo,0.26537076070192195,0.0001460435944637539,0.043352215815463724,0.019893752693770656,8,200
baseline_unfiltered_dpo,0.08497697346126237,0.23154499137273757,0.0004055922833866958,0.06379216304271063,8,200
filtered_cpt_alignment_dpo,0.13862011474457414,0.05028192641816481,0.02464550490181645,0.016877947673403757,8,200
filtered_e2e_alignment_dpo,-0.20064503629195968,0.0043885602816668414,-0.006121301681550814,0.008761511520071777,8,200
filtered_midtrain_alignment_dpo,0.07691013272198116,0.2790481342433635,-0.009420410207668579,0.01706625493326369,8,200
llama2_7b_chat,0.050296147163787275,0.47938980907708095,-0.0027335480828149595,0.02799764801314665,8,200
olmo3_7b_instruct,-0.03658052012466639,0.6070728683245422,-0.01591901110064148,0.003998491460647559,8,200
unfiltered_cpt_alignment_dpo,-0.23172659647871388,0.0009612695543746325,-0.0015218633224231264,0.01884281233630649,8,200
unfiltered_cpt_misalignment_dpo,-0.19558864345363183,0.005510641834397615,-0.0007677840717570554,0.0012949115929365694,8,200
unfiltered_e2e_alignment_dpo,-0.07943850835694354,0.2635001773745424,-0.0004575623766873826,0.010699329339430777,8,200
unfiltered_e2e_misalignment_dpo,-0.03633281250031938,0.609511008921244,-0.003987279501888416,0.01060090323293414,8,200
unfiltered_midtrain_alignment_dpo,-0.2165145901731497,0.0020742000764305125,0.0017170820551231938,0.002213696770821441,8,200
